,DROPDOWNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tab,Brief,Ad Types,,,,Call to Action List,,,,,,,,,,,,,,,,,,UTM,,,,,,,
,Stages,Platform,Ad Types,Specifications,Google,Facebook/Instagram,Facebook Lead Gen,Facebook App Install,Lead Gen Form Thank You,LinkedIn,Yahoo,Yahoo (Countdown),Twitter,TikTok,TikTok (Lead Gen Form),SnapChat,Hotstar,Spotify,WeChat,Wagawin,Grab,Programmatic,,PROGRAM,PROGRAM UTM,COUNTRIES,CHANNEL,UTM SOURCES,ADS PLATFORMS,STAGES IN THE FUNNEL,KEYWORDS TYPE
Options,Prospecting,Google,Google Responsive Text Search Ads,https://support.google.com/google-ads/answer/1704389?hl=en,Buy now,Apply Now,View Website,Install Now,View Website,Sign up,Apply Now,Ends in,Install,Listen now,Install App,Apply Now,Shop Now,Book now,Mini Program,End Card with Small Video Integration,Activate Now,Sign up,,MBA,nus_mba,singapore,Brand Paid Search Ads,facebook,facebook,prospecting,generic
,Retargeting,,Google Discovery Ads,https://support.google.com/google-ads/answer/12563349?hl=en,Shop now,Book Now,Download,Download,Download,Contact us,Bet Now,Starts in,Open,Learn more,View Website,Book Now,See Menu,Buy now,Coupon,Calendar Entry,Download Now,Contact us,,EMBA,nus_emba,malaysia,No Brand Paid Search Ads,linkedin,linkedin,retargeting,product
,Nurturing,,Google Responsive Display Ads,https://support.google.com/google-ads/editor/answer/57755?hl=en#zippy=%2Cdisplay-ads,Sign up,Call Now,Call Business,Play Now,Call Business,Register,Book Now,Sale starts in,Play,Subscribe,,Buy Tickets,Request Time,Buy tickets,Link to Store,Social Media Share,Learn More,Register,,UCLA EMBA,nus_ucla_emba,canada,Display,twitter,twitter,nurturing,brand
,Converting,,Google Static Display Ads,https://support.google.com/google-ads/editor/answer/57755?hl=en#zippy=%2Cdisplay-ads,Get a quote,Comment,,Use App,,Learn more,Browse Now,Sale ends in,Shop,Watch now,,Get Now,Learn More,Click now,Follow Official Account,Direct Call,Shop Now,Learn more,,,,united states,Programmatic Display,youtube,youtube,action,competitors
,,,Google GIFs Ads,https://support.google.com/google-ads/answer/1722096?hl=e,Learn more,Contact Us,,Watch More,,Visit website,Buy Now,Expires in,Book,Shop now,,Listen,Get Showtimes,Download,Event Registration,,Visit Site,Visit website,,,,colombia,Paid Social,google,googlesearch,,
,,,Google HTML5 Ads,https://support.google.com/google-ads/answer/1722096?hl=en#zippy=%2Call-html-ads,Download now,Donate Now,,Learn More,,,Call Now,Deal ends in,Connect,Sign up,,More,Get Quote,Find stores,Link to Article,,Apply Now,,,,,vietnam,No Paid Social,bing,googledisplay,,
,,,Google Performance Max Ads,https://developers.google.com/google-ads/api/docs/performance-max/assets,Request a demo,Download,,Sign Up,,,Compare,Offer ends in,Order,Get tickets now,,Play,Get Offer,Get coupon,,,Find Out More,,,,,indonesia,Organic Home,,bingsearch,,
,,,Google App Install Ads,https://support.google.com/google-ads/answer/9234183?hl=en,Contact us,Get Directions,,Book Now,,,Contact Us,Time left,,Read more,,Read,Download,Get info,,,Order Now,,,,,philippines,Organic No Home,,,,
,,,Google Extension Package - Sitelinks and Callouts,https://support.google.com/google-ads/answer/6079510?hl=en&ref_topic=3119125,Book now,Get Quote,,Contact Us,,,Directions,Deadline in,,View now,,Sign Up,Contact Us,Learn more,,,Sign Up Now,,,,,thailand,Affiliates,,,,
,,,Google Search Dynamic ads,https://support.google.com/google-ads/answer/1704389?hl=en#:~:text=Use%20up%20to%2090%20characters%20for%20each%20description,Find a location,Get Showtimes,,Apply Now,,,Donate Now,Premieres in,,Book now,,Show,Book Now,Listen now,,,Watch More,,,,,korea,Transactional Emails,,,,
,,,Google Web Story Ads,"https://developers.google.com/search/docs/appearance/web-stories-creation-best-practices#:~:text=Make%20sure%20that%20the%20image,aspect%20ratio%20of%203%3A4.&text=Make%20sure%20that%20the%20logo,aspect%20ratio%20of%201%3A1.",Get started,Learn More,,Listen Now,,,Download,Launches in,,Get quote,,Shop Now,Apply Now,More info,,,,,,,,japan,Nurture Emails,,,,
,,YouTube,YouTube Bumper Ads,https://support.google.com/youtube/answer/2467968?hl=en,Request more information,Like,,Subscribe,,,Enroll Now,,,Order now,,Showtimes,Listen Now,Pre-save,,,,,,,,taiwan,Newsletter,,,,
,,,YouTube Non Skippable Ads,https://support.google.com/youtube/answer/2467968?hl=en,Call now,Listen Now,,,,,Enter Now,,,Install now,,Order Now,Watch More,Save now,,,,,,,,hong kong,Email Marketing,,,,
,,,YouTube Skippable Ads,https://support.google.com/youtube/answer/2467968?hl=en,Apply now,No Button,,,,,Explore,,,Get showtimes,,View,Subscribe,Share,,,,,,,,myanmar,,,,,
,,,YouTube Audio Ads,https://support.google.com/google-ads/answer/10227746?sjid=13448328115207634000-AP,Get a free trial,Page Like,,,,,Find Now,,,Interested,,Watch,Sign Up,Shop now,,,,,,,,united kingdom,,,,,
,,Yahoo,Yahoo Native Stream - Static Ads,https://adspecs.yahooinc.com/native-ads,Subscribe,Request Time,,,,,Follow Now,,,Experiene now,,Vote,No button,Sign up,,,,,,,,all countries,,,,,
,,,Yahoo Native Stream - Carousel Ads,https://adspecs.yahooinc.com/native-ads,Register now,See Menu,,,,,Get App,,,Pre-order now,,View Menu,Apply,Visit profile,,,,,,,,,,,,,
,,,Yahoo Native Stream - Video Ads,https://adspecs.yahooinc.com/native-ads,Discover more,Send Message,,,,,Get Coupon,,,Visit store,,Pre-Register,Download,Visit site,,,,,,,,,,,,,
,,,Yahoo Native Stream - AR Ads,https://adspecs.yahooinc.com/native-ads,Watch video,Share,,,,,Get Deals,,,,,,View Quote,,,,,,,,,,,,,,
,,,Yahoo Native Stream - Countdown Ads,https://adspecs.yahooinc.com/native-ads,View offer,Shop Now,,,,,Get Info,,,,,,Learn More,,,,,,,,,,,,,,
,,,Available Features,https://adspecs.yahooinc.com/native-ads,,Sign Up,,,,,Get Now,,,,,Play Game,Sign Up,,,,,,,,,,,,,,
,,,Yahoo Audio Ads,https://adspecs.yahooinc.com/audio-ads,,Subscribe,,,,,Get Quote,,,,,Donate,Subscribe,,,,,,,,,,,,,,
,,,Yahoo DOOH Image Ads,https://adspecs.yahooinc.com/dooh-ads,,Watch More,,,,,Get Rates,,,,,,Register,,,,,,,,,,,,,,
,,,Yahoo DOOH Video Ads,https://adspecs.yahooinc.com/dooh-ads,,,,,,,Get Recipe,,,,,,Join,,,,,,,,,,,,,,
,,,Many others....,,,,,,,,Get Sample,,,,,,Attend,,,,,,,,,,,,,,
,,Bing,Bing Search Ads,https://about.ads.microsoft.com/en-in/policies/text-guidelines#word-character-limits,,,,,,,Gift Now,,,,,,Request Demo,,,,,,,,,,,,,,
