"Deliverable 
(Streamtime: Item Name)","Description
(Streamtime: Description)",Resource, Dept Rate,Effort / Quantity,Cost Rate ,Total Cost ,Sell Rate,Total Sell ,Deliverable Price ,Internal Notes
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Client Partnership Director,Client Direction & Leadership,1, $ 240 , $ 240 , $ 240 , $ 240.00 ,,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Account Manager,Account Management,2, $ 170 , $ 340 , $ 180 , $ 360.00 ,,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Project Manager,Project Management,3, $ 131 , $ 393 , $ 180 , $ 540.00 ,,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Strategy Director,Strategy Leadership,4, $ 280 ," $ 1,120 ", $ 280 ," $ 1,120.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Strategic Planner,Strategy,5, $ 133 , $ 665 , $ 180 , $ 900.00 ,,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Marketing Director,Marketing Direction,6, $ 240 ," $ 1,440 ", $ 240 ," $ 1,440.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Marketer,Marketing,7, $ 140 , $ 980 , $ 170 ," $ 1,190.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Creative Director,Creative Direction,8, $ 280 ," $ 2,240 ", $ 280 ," $ 2,240.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Art Director,Creative,9, $ 122 ," $ 1,098 ", $ 170 ," $ 1,530.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Designer,Creative,10, $ 122 ," $ 1,220 ", $ 170 ," $ 1,700.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,FA Artist,Creative,11, $ 122 ," $ 1,342 ", $ 170 ," $ 1,870.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,UX Specialist,UX,12, $ 169 ," $ 2,028 ", $ 200 ," $ 2,400.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Editor,Creative,13, $ 122 ," $ 1,586 ", $ 170 ," $ 2,210.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Producer ,Creative,14, $ 122 ," $ 1,708 ", $ 170 ," $ 2,380.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Videographer,Creative,15, $ 122 ," $ 1,830 ", $ 170 ," $ 2,550.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Video Editor,Creative,16, $ 122 ," $ 1,952 ", $ 170 ," $ 2,720.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Content Strategist,Strategy,17, $ 133 ," $ 2,261 ", $ 180 ," $ 3,060.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Copywriter,Content,18, $ 147 ," $ 2,646 ", $ 170 ," $ 3,060.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Chief Technology Officer,Innovation & Technology Leadership,19, $ 280 ," $ 5,320 ", $ 280 ," $ 5,320.00 ",,
